chains,10000,1
open,10000,41
chains,20000,1
open,20000,99
chains,30000,2
open,30000,179
chains,40000,4
open,40000,220
chains,50000,6
open,50000,273
chains,60000,8
open,60000,333
chains,70000,12
open,70000,397
chains,80000,15
open,80000,447
chains,90000,19
open,90000,558
chains,100000,24
open,100000,589
chains,110000,28
open,110000,627
chains,120000,33
open,120000,662
chains,130000,38
open,130000,720
chains,140000,43
open,140000,776
chains,150000,49
open,150000,832
chains,160000,56
open,160000,889
chains,170000,64
open,170000,946
chains,180000,70
open,180000,1002
chains,190000,78
open,190000,1063
chains,200000,89
open,200000,1116
chains,210000,95
open,210000,1171
chains,220000,106
open,220000,1228
chains,230000,115
open,230000,1293
chains,240000,127
open,240000,1353
chains,250000,137
open,250000,1400
chains,260000,146
open,260000,1457
chains,270000,157
open,270000,1514
chains,280000,168
open,280000,1570
chains,290000,181
open,290000,1629
chains,300000,193
open,300000,1548
chains,310000,210
open,310000,1740
chains,320000,222
open,320000,1799
chains,330000,237
open,330000,1854
chains,340000,251
open,340000,1916
chains,350000,263
open,350000,1972
chains,360000,283
open,360000,2026
chains,370000,293
open,370000,2087
chains,380000,309
open,380000,2146
chains,390000,326
open,390000,2203
chains,400000,342
open,400000,2259
chains,410000,361
open,410000,2314
chains,420000,380
open,420000,2373
chains,430000,400
open,430000,2430
chains,440000,414
open,440000,2490
chains,450000,435
open,450000,2547
chains,460000,450
open,460000,2609
chains,470000,476
open,470000,2661
chains,480000,515
open,480000,2717
chains,490000,520
open,490000,2776
chains,500000,549
open,500000,2832
chains,510000,571
open,510000,2887
chains,520000,592
open,520000,2946
chains,530000,632
open,530000,3001
chains,540000,660
open,540000,3062
chains,550000,725
open,550000,2854
chains,560000,711
open,560000,3182
chains,570000,780
open,570000,3241
chains,580000,833
open,580000,3300
chains,590000,841
open,590000,3423
chains,600000,874
open,600000,3410
chains,610000,912
open,610000,3113
chains,620000,1112
open,620000,3536
chains,630000,1067
open,630000,3588
chains,640000,1076
open,640000,3648
chains,650000,1220
open,650000,3644
chains,660000,1187
open,660000,3798
chains,670000,1210
open,670000,3786
chains,680000,1574
open,680000,3856
chains,690000,1733
open,690000,3892
chains,700000,1317
open,700000,3945
chains,710000,1592
open,710000,3989
chains,720000,1678
open,720000,4041
chains,730000,1684
open,730000,4096
chains,740000,1640
open,740000,4154
chains,750000,1944
open,750000,4212
chains,760000,1896
open,760000,4262
chains,770000,2369
open,770000,4315
chains,780000,2792
open,780000,3964
chains,790000,2341
open,790000,4418
chains,800000,2215
open,800000,3742
chains,810000,2953
open,810000,4566
chains,820000,3138
open,820000,4599
chains,830000,3972
open,830000,4661
chains,840000,2479
open,840000,4758
chains,850000,3637
open,850000,4854
chains,860000,4135
open,860000,4851
chains,870000,3542
open,870000,4890
chains,880000,2884
open,880000,4959
chains,890000,4938
open,890000,4929
chains,900000,4489
open,900000,4975
chains,910000,4265
open,910000,5032
chains,920000,4487
open,920000,5091
chains,930000,4476
open,930000,5144
chains,940000,5915
open,940000,5203
chains,950000,5406
open,950000,5262
chains,960000,4626
open,960000,5400
chains,970000,7591
open,970000,5240
chains,980000,5789
open,980000,4442
chains,990000,5088
open,990000,5542
chains,1000000,6246
open,1000000,5598
